country,country_code,year,gdp_per_capita_usd,household_consumption_usd,inflation_pct,internet_users_pct,population,urban_population_pct,population_score,gdp_per_capita_usd_score,urban_population_pct_score,internet_users_pct_score,household_consumption_usd_score,inflation_risk_score,macro_potential_score,macro_score_year
Indonesia,IDN,2015,3288.222697255384,494560910751.04175,6.363120611966463,22.062742603379,261799249.0,53.1720771789551,0.8305075064058837,0.010850239337497708,0.3293922348597932,0.17939458479330161,0.034671793644819315,0.8055881460201961,0.36506741751024857,2024
Indonesia,IDN,2016,3521.469434575738,538874867132.174,3.525804528154512,25.447353701827,264627418.0,53.812557220459,0.8305075064058837,0.010850239337497708,0.3293922348597932,0.17939458479330161,0.034671793644819315,0.8055881460201961,0.36506741751024857,2024
Indonesia,IDN,2017,3798.8832617452576,581701454950.3324,3.808798576919489,32.335806250688,267346658.0,54.4541015625,0.8305075064058837,0.010850239337497708,0.3293922348597932,0.17939458479330161,0.034671793644819315,0.8055881460201961,0.36506741751024857,2024
Indonesia,IDN,2018,3860.9535309072558,593885231701.2631,3.198347559249961,39.9046386385762,269951846.0,55.0956840515137,0.8305075064058837,0.010850239337497708,0.3293922348597932,0.17939458479330161,0.034671793644819315,0.8055881460201961,0.36506741751024857,2024
Indonesia,IDN,2019,4106.948561603577,648299754543.7823,3.030584609416606,47.6906489788375,272489381.0,55.7382049560547,0.8305075064058837,0.010850239337497708,0.3293922348597932,0.17939458479330161,0.034671793644819315,0.8055881460201961,0.36506741751024857,2024
Indonesia,IDN,2020,3853.7028877414587,624142240218.4177,1.919835272707928,53.72649449,274814866.0,56.2785287648768,0.8305075064058837,0.010850239337497708,0.3293922348597932,0.17939458479330161,0.034671793644819315,0.8055881460201961,0.36506741751024857,2024
Indonesia,IDN,2021,4287.173139950984,660041259479.6351,1.560078829833344,62.10447842,276758053.0,56.8761702464027,0.8305075064058837,0.010850239337497708,0.3293922348597932,0.17939458479330161,0.034671793644819315,0.8055881460201961,0.36506741751024857,2024
Indonesia,IDN,2022,4730.834848361069,699718159840.6262,4.209464637147842,66.48461277,278830529.0,57.4934704226599,0.8305075064058837,0.010850239337497708,0.3293922348597932,0.17939458479330161,0.034671793644819315,0.8055881460201961,0.36506741751024857,2024
Indonesia,IDN,2023,4876.3077451225245,746266471935.574,3.669386548597611,69.20836554,281190067.0,58.1179353397878,0.8305075064058837,0.010850239337497708,0.3293922348597932,0.17939458479330161,0.034671793644819315,0.8055881460201961,0.36506741751024857,2024
Indonesia,IDN,2024,4925.430487518614,773552837989.2095,2.181512736151888,72.78075544,283487931.0,58.7509635387997,0.8305075064058837,0.010850239337497708,0.3293922348597932,0.17939458479330161,0.034671793644819315,0.8055881460201961,0.36506741751024857,2024
Malaysia,MYS,2014,11013.310733440316,177210452020.55695,3.142990508790954,63.6654258813225,30696137.0,72.9802206910773,0.08836605569168769,0.09101009855625614,0.6247277396702323,1.0,0.0048552246210067755,1.0,0.4681598530898638,2024
Malaysia,MYS,2015,9648.679793752302,162616927333.64844,2.104389802383585,71.0640678111957,31232798.0,73.4387869957006,0.08836605569168769,0.09101009855625614,0.6247277396702323,1.0,0.0048552246210067755,1.0,0.4681598530898638,2024
Malaysia,MYS,2016,9476.534098099228,165051280153.68256,2.090566595257424,78.7883099275229,31789685.0,73.8588978909614,0.08836605569168769,0.09101009855625614,0.6247277396702323,1.0,0.0048552246210067755,1.0,0.4681598530898638,2024
Malaysia,MYS,2017,9862.548066122346,176760121345.69455,3.871201157742374,80.1404790103961,32355644.0,74.2354806421432,0.08836605569168769,0.09101009855625614,0.6247277396702323,1.0,0.0048552246210067755,1.0,0.4681598530898638,2024
Malaysia,MYS,2018,10901.80199544212,206037423825.25473,0.884709160571235,81.2010486181174,32910967.0,74.5634625145296,0.08836605569168769,0.09101009855625614,0.6247277396702323,1.0,0.0048552246210067755,1.0,0.4681598530898638,2024
Malaysia,MYS,2019,10920.191763972032,218272887190.4926,0.6628918657643263,84.1871450078281,33440596.0,74.8377707734042,0.08836605569168769,0.09101009855625614,0.6247277396702323,1.0,0.0048552246210067755,1.0,0.4681598530898638,2024
Malaysia,MYS,2020,9957.526266976134,205888852146.863,-1.138702153930499,89.55501192,33889558.0,75.0511895575672,0.08836605569168769,0.09101009855625614,0.6247277396702323,1.0,0.0048552246210067755,1.0,0.4681598530898638,2024
Malaysia,MYS,2021,10903.103748077187,216822304116.18958,2.477102414654468,96.7514278,34282399.0,75.5088628191907,0.08836605569168769,0.09101009855625614,0.6247277396702323,1.0,0.0048552246210067755,1.0,0.4681598530898638,2024
Malaysia,MYS,2022,11754.567833624773,234948922036.3384,3.378698625499285,97.3986404,34695493.0,75.9741357073003,0.08836605569168769,0.09101009855625614,0.6247277396702323,1.0,0.0048552246210067755,1.0,0.4681598530898638,2024
Malaysia,MYS,2023,11386.039563652774,241825507173.03317,2.488865601257539,97.69272633,35126298.0,76.4434752105739,0.08836605569168769,0.09101009855625614,0.6247277396702323,1.0,0.0048552246210067755,1.0,0.4681598530898638,2024
Malaysia,MYS,2024,11874.427368424476,256552030754.11655,1.834100204499002,98.0206059,35557673.0,76.9170296648992,0.08836605569168769,0.09101009855625614,0.6247277396702323,1.0,0.0048552246210067755,1.0,0.4681598530898638,2024
Philippines,PHL,2014,2866.838037614072,212028490469.9283,3.597823438642111,34.70000076,103767130.0,50.2392400212368,0.3286899547037057,0.0,0.27576080924040913,0.0,0.010331109031236307,0.22858957770710098,0.14056190844707536,2024
Philippines,PHL,2015,2909.8581801030064,222090173334.23584,0.6741925368454084,36.90000153,105312992.0,51.1549047745227,0.3286899547037057,0.0,0.27576080924040913,0.0,0.010331109031236307,0.22858957770710098,0.14056190844707536,2024
Philippines,PHL,2016,2985.195640240464,231175324213.5426,1.253698800809817,39.20000076,106735719.0,51.9114748151175,0.3286899547037057,0.0,0.27576080924040913,0.0,0.010331109031236307,0.22858957770710098,0.14056190844707536,2024
Philippines,PHL,2017,3038.1212495928917,237102808739.11688,2.853187725909474,41.59999847,108119693.0,52.6010482354344,0.3286899547037057,0.0,0.27576080924040913,0.0,0.010331109031236307,0.22858957770710098,0.14056190844707536,2024
Philippines,PHL,2018,3168.5103660972686,251608899173.45578,5.309346616277067,44.09999847,109465287.0,53.2088897464754,0.3286899547037057,0.0,0.27576080924040913,0.0,0.010331109031236307,0.22858957770710098,0.14056190844707536,2024
Philippines,PHL,2019,3400.789497670743,275858995374.1987,2.392065344224044,43.0266118680279,110804683.0,53.7157859948017,0.3286899547037057,0.0,0.27576080924040913,0.0,0.010331109031236307,0.22858957770710098,0.14056190844707536,2024
Philippines,PHL,2020,3227.579102351993,271563141259.03674,2.393162393162403,53.76490021,112081264.0,54.1077719895977,0.3286899547037057,0.0,0.27576080924040913,0.0,0.010331109031236307,0.22858957770710098,0.14056190844707536,2024
Philippines,PHL,2021,3484.3859388281885,296592543563.14105,3.927180221003324,66.90779877,113100950.0,54.4504102510776,0.3286899547037057,0.0,0.27576080924040913,0.0,0.010331109031236307,0.22858957770710098,0.14056190844707536,2024
Philippines,PHL,2022,3548.0693057211556,307006689363.25714,5.821158112139547,75.21114422,113964338.0,54.7902343568327,0.3286899547037057,0.0,0.27576080924040913,0.0,0.010331109031236307,0.22858957770710098,0.14056190844707536,2024
Philippines,PHL,2023,3804.0827413109687,334429914559.4286,5.978025155414093,77.86699677,114891199.0,55.1242716168851,0.3286899547037057,0.0,0.27576080924040913,0.0,0.010331109031236307,0.22858957770710098,0.14056190844707536,2024
Philippines,PHL,2024,3984.8315387656016,351500468924.644,3.21260487006347,67.26300914,115843670.0,55.4520983215477,0.3286899547037057,0.0,0.27576080924040913,0.0,0.010331109031236307,0.22858957770710098,0.14056190844707536,2024
Singapore,SGP,2014,57564.80231149774,118339528826.80241,1.033169558576293,79.0292358633435,5469724.0,100.0,0.0,1.0,1.0,0.8815566070253662,0.0,0.6891923045161108,0.5951248185902461,2024
Singapore,SGP,2015,55645.60686146057,114446347716.98216,-0.5219756118957629,79.0129570025584,5535002.0,100.0,0.0,1.0,1.0,0.8815566070253662,0.0,0.6891923045161108,0.5951248185902461,2024
Singapore,SGP,2016,57005.58871765469,116554497642.49617,-0.5298097603754645,84.4522678893074,5607283.0,100.0,0.0,1.0,1.0,0.8815566070253662,0.0,0.6891923045161108,0.5951248185902461,2024
Singapore,SGP,2017,61236.251270626955,121000706048.482,0.5767631911799955,84.4522678893074,5612253.0,100.0,0.0,1.0,1.0,0.8815566070253662,0.0,0.6891923045161108,0.5951248185902461,2024
